id,name,opened,closed,insp_freq,type,latlon
166934,MCDONALDS 27133,2015-07-13,,2,1 - Restaurant,"35.8771424, -78.8509667"
165945,FALAFEL 54,2015-05-27,,4,1 - Restaurant,"35.9034394, -78.8935011"
165223,DELECTABLE-DELECTABLES CATERING LLC,2015-04-29,,2,2 - Food Stands,"35.996597, -78.915869"
166984,TIENDA MI TIERRA,2015-07-14,,3,30 - Meat Market,"35.9594966, -78.9761834"
168390,"WEST END COMMUNITY FOUNDATION,INC",2015-09-08,,2,1 - Restaurant,"35.9894382, -78.9197263"
168440,BLUE CROSS BLUE SHIELD UP5,2015-09-16,,4,1 - Restaurant,"35.955213, -78.964034"
167235,BABA GHANNOUJ,2015-07-27,,4,1 - Restaurant,"35.8809652, -78.8503074"
167716,GARNACHAS RIVERA,2015-08-18,,2,3 - Mobile Food,"38.870274, -76.9383722"
168896,ROOTED PROVISIONS,2015-10-05,,2,2 - Food Stands,"35.9967156, -78.9157737"
169361,HOMEWOOD SUITES FOODSERVICE,2015-10-20,,2,1 - Restaurant,"35.949862, -78.995052"
169900,LUCKY CHICKEN,2015-11-19,,4,1 - Restaurant,"36.0214617, -78.9126936"
169546,BOTTLE 501,2015-10-26,,1,1 - Restaurant,"35.9532, -78.9917418"
169512,"AL-TAIBA HALAL MARKET, LLC",2015-10-27,,3,30 - Meat Market,"35.9972308, -78.9157846"
169676,O SO GOOD KURBSIDE KITCHEN,2015-11-05,,2,3 - Mobile Food,"35.9943725, -78.8815748"
169802,REDPLATE CATERING,2015-11-16,,2,2 - Food Stands,"35.9967156, -78.9157737"
169502,AMERICAN MELTDOWN,2015-10-26,,2,2 - Food Stands,"35.9061727, -78.9390273"
169330,CRISPY GYOZA,2015-10-15,,2,3 - Mobile Food,"35.9943725, -78.8815748"
171246,"FLIK AT FIDELITY,DANBURY HALL",2016-03-01,,4,1 - Restaurant,"35.8786439, -78.84669"
171245,BURGER KING RESTAURANT #399,2016-03-02,,2,1 - Restaurant,"36.0174356, -78.9120788"
172882,SWEET STACEY CAKES,2016-03-29,,2,2 - Food Stands,"35.9967156, -78.9157737"
173055,KANGAROO EXPRESS #2723161,2016-04-06,,2,2 - Food Stands,"36.038043, -78.93014"
173034,TACOS REYES DIAZ,2016-04-05,,2,3 - Mobile Food,"35.990345, -78.8675109"
173032,MORFA EMPANADAS,2016-04-05,,2,3 - Mobile Food,"35.8987439, -78.8503645"
170568,GUASACA AREPA AND SALSA GRILL,2016-01-06,,2,1 - Restaurant,"36.0081313, -78.9261556"
170594,58 FIFTY BISTRO,2016-01-13,,4,1 - Restaurant,"35.9202323, -78.92984"
170739,BUDDHALICIOUS FOOD TRUCK,2016-01-28,,2,3 - Mobile Food,"36.0066658, -78.9477928"
170392,STARICO EL TACO,2015-12-29,,2,3 - Mobile Food,"36.1369289, -78.762172"
170234,TAQUERIA EL BUENGUSTO,2015-12-10,,2,3 - Mobile Food,"35.9886928, -78.8765303"
170776,TACOS EL JAROCHO,2016-02-01,,2,3 - Mobile Food,"35.9817995, -78.8776064"
171195,CUT BAIT CAFE,2016-02-25,,2,3 - Mobile Food,"35.9708359, -78.8668419"
160947,PENN STATION EAST COAST SUBS,2014-10-20,,2,1 - Restaurant,"35.9041882, -78.9534773"
165081,CANTEEN-COMPASS GROUP,2015-04-15,,2,2 - Food Stands,"36.016557, -78.869479"
161640,THE FRESH MARKET MEAT AND SEAFOOD,2014-12-03,,2,2 - Food Stands,"35.9632068, -78.9579208"
161058,FRESH HEALTHY CAFE,2014-10-27,,2,2 - Food Stands,"35.9043093, -78.9411284"
161406,DECADENT CREATIONNS,2014-11-12,,2,2 - Food Stands,"35.996597, -78.915869"
164343,TASTE THE WORLD,2015-03-18,,2,2 - Food Stands,"35.996597, -78.915869"
173820,JAKE'S WAYBACK BURGERS,2016-04-27,,2,1 - Restaurant,"35.8683392, -78.8491334"
173495,LUZ MARIA BARBEITO,2016-04-27,,2,2 - Food Stands,"35.9967156, -78.9157737"
173378,DBAP RIGHT FIELD STAND BBQ,2016-04-21,,2,2 - Food Stands,"35.991585, -78.904016"
173203,TAQUERIA LA FIESTA,2016-04-14,,2,3 - Mobile Food,"36.003665, -78.876469"
173793,HOMECOOK 919,2016-05-09,,2,2 - Food Stands,"35.9967156, -78.9157737"
174032,HUNGRY ROLLER,2016-05-19,,2,3 - Mobile Food,"35.8987439, -78.8503645"
58060,BETHESDA SCHOOL LUNCHROOM,1991-09-19,,4,11 - Public School Lunch,"35.9421575, -78.8386141"
57804,TAQUERIA LA ESPERANZA,2007-01-08,,4,2 - Food Stands,"35.9944791, -78.8828683"
58034,TWINNIES CAFE,2004-12-21,,4,6 - Edu. Food Service,"36.0038751, -78.9411844"
57745,LA PLAZA LATINA TORTILLERIA,2004-05-18,,3,2 - Food Stands,"35.981648, -78.819877"
57719,KROGER  R 331 DELI,1998-10-26,,3,2 - Food Stands,"35.9110368, -78.9375428"
57809,COMPARE FOODS DELI,2007-01-08,,3,2 - Food Stands,"36.0167556, -78.8853454"
57747,SAGE AND SWIFT,2004-05-19,,4,2 - Food Stands,"35.951417, -78.882953"
57827,CIRCLE K # 6312,2007-11-20,,2,2 - Food Stands,"35.9106331, -78.9343683"
57764,KROGER R 374 SEAFOOD,2005-01-10,,2,2 - Food Stands,"35.9527723, -78.9909181"
56693,RUDINO'S,2002-05-17,,4,1 - Restaurant,"36.027145, -78.916354"
56689,KANKI JAPANESE HOUSE OF STEAKS,2002-04-29,,4,1 - Restaurant,"35.950785, -78.994978"
56678,FIREBIRD S ROCKY MOUNTAIN GRIL,2002-04-29,,4,1 - Restaurant,"35.9054031, -78.9450648"
56670,CHAMPPS AMERICANA #65233,2002-03-20,,4,1 - Restaurant,"35.9054031, -78.9450648"
56640,FAMILY FARE  262,2003-07-17,,2,1 - Restaurant,"35.961236, -78.976176"
56727,NANTUCKET CAFE AND GRILL,2002-11-18,,4,1 - Restaurant,"35.912738, -78.984025"
56677,CAPTAIN D S,2002-04-29,,2,1 - Restaurant,"35.9007332, -78.890006"
56735,WENDY'S  8966,2003-01-16,,2,1 - Restaurant,"35.9469202, -78.9215689"
56515,NANA'S,2000-04-27,,4,1 - Restaurant,"35.973935, -78.925094"
56550,MI BARRIO,2000-11-07,,4,1 - Restaurant,"35.9770488, -78.7954523"
55942,SATISFACTION RESTAURANT AND BAR,1993-01-04,,3,1 - Restaurant,"35.9999309, -78.910163"
56479,FOUR SQUARE RESTAURANT,1999-11-03,,4,1 - Restaurant,"35.976819, -78.935722"
56462,HONG KONG CHINESE REST,1999-08-13,,4,1 - Restaurant,"36.033599, -78.929586"
56380,SUBWAY,1998-08-21,,2,1 - Restaurant,"36.077633, -78.909677"
56453,CROASDAILE VILLAGE RETIREMENT C,1999-08-06,,2,1 - Restaurant,"36.0466394, -78.9390772"
56451,PIPER'S IN THE PARK,1999-09-07,,4,1 - Restaurant,"35.9236546, -78.8438803"
56496,MCDONALD S #3573,1990-07-01,,2,1 - Restaurant,"36.0558699, -78.903481"
56174,AMERICAN HERO,1996-01-29,,2,1 - Restaurant,"36.017064, -78.890421"
56209,PIZZA HUT,1996-07-08,,2,1 - Restaurant,"35.950096, -78.836587"
56189,IBM CAFETERIA  306,1996-04-24,,4,1 - Restaurant,"35.903536, -78.855925"
55564,HARDEE'S OF DUKE STREET  1613,1990-07-01,,3,1 - Restaurant,"36.0537865, -78.9037884"
55536,EL RODEO OF DURHAM INC,1990-07-01,,4,1 - Restaurant,"35.9999309, -78.910163"
55750,WENDY'S # 1352,1990-07-01,,2,1 - Restaurant,"36.0181782, -78.9432898"
55853,FOSTER'S MARKET,1990-07-01,,4,1 - Restaurant,"35.9743682, -78.9315641"
55811,SARAH'S  EMPANADAS,1990-07-01,,4,1 - Restaurant,"35.8903019, -78.8961489"
55815,WHEEL'S RECREATION CTR,1990-07-01,,2,1 - Restaurant,"36.003017, -78.86138"
56034,QUALITY MART #34,1994-05-04,,2,1 - Restaurant,"35.883122, -78.849692"
62040,A & D BUFFALO'S,2008-08-12,,4,2 - Food Stands,"36.0201168, -78.9100018"
62371,PANDA EXPRESS 1756,2008-09-10,,3,6 - Edu. Food Service,"36.0038751, -78.9411844"
62906,BUY QUICK FOOD MART,2008-10-02,,2,2 - Food Stands,"35.981085, -78.874761"
63066,SUBWAY 11138,2008-10-10,,2,1 - Restaurant,"35.993456, -78.868094"
59455,FOOD EXPRESS,2008-04-17,,4,1 - Restaurant,"35.9154031, -78.8324741"
60573,PAN PAN DINER,2008-05-22,,4,1 - Restaurant,"36.0201168, -78.9100018"
63526,CHINA MAX,2008-12-08,,4,2 - Food Stands,"35.905837, -78.9377839"
63620,HARRIS TEETER 254 PRODUCE,2009-01-07,,2,2 - Food Stands,"36.056542, -78.930972"
63619,HARRIS TEETER 254 DELI,2009-01-07,,3,2 - Food Stands,"36.056542, -78.930972"
86036,GEER STREET GARDEN,2011-04-27,,4,1 - Restaurant,"36.0032255, -78.9013914"
86348,LA COCINA #9,2011-05-23,,4,1 - Restaurant,"35.9203321, -78.8112362"
85365,TAQUERIA DON BERCERRA,2011-02-22,,4,1 - Restaurant,"36.0558699, -78.903481"
85206,FAMILY FARE INC.,2011-01-24,,2,2 - Food Stands,"35.911522, -78.983202"
86758,CORE CATERING,2011-06-28,,4,2 - Food Stands,"35.9147322, -78.8890411"
85285,JOSEPH M. BUSHFAN DBA JOE'S BIG DOGS DC #24,2011-02-10,,2,3 - Mobile Food,"35.981861, -78.87778"
144730,ATRIA SOUTHPOINT WALK,2013-07-22,,4,1 - Restaurant,"35.921753, -78.9265659"
146560,MCALISTER'S DELI,2013-08-05,,4,1 - Restaurant,"35.954361, -78.9944841"
167237,WENDY'S,2015-07-28,,2,1 - Restaurant,"35.9680418, -78.9546744"
166854,FOOD LION PRODUCE 2646,2015-07-08,,2,2 - Food Stands,"35.9205139, -78.8112223"
167718,FOOD LION PRODUCE  #2589,2015-08-18,,2,2 - Food Stands,"35.9742205, -78.7930157"
167882,TAQUERIA LA ESPERANZA #3,2015-08-24,,2,3 - Mobile Food,"35.994189, -78.882354"
168435,ALOFT DURHAM DOWNTOWN FOOD SERVICE,2015-08-31,,2,1 - Restaurant,"35.9933768, -78.9039337"
168826,PONYSAURUS BREWING CO,2015-09-30,,2,1 - Restaurant,"35.989615, -78.895294"
168372,DANISH MEXICAN RESTAURANT,2015-09-14,,2,2 - Food Stands,"35.981861, -78.87778"
169257,FOOD LION PRODUCE #274,2015-10-14,,2,2 - Food Stands,"35.9218424, -78.9557354"
169513,FOOD LION PRODUCE LLC#1099,2015-10-27,,2,2 - Food Stands,"36.0149473, -78.935229"
169265,FOOD LION PRODUCE #57,2015-10-16,,2,2 - Food Stands,"36.0772958, -78.911113"
168497,SR CATERING,2015-09-21,,2,2 - Food Stands,"35.9967156, -78.9157737"
56761,AMANTE PIZZA,2003-05-15,,3,1 - Restaurant,"35.9495128, -78.9213244"
56806,HAMPTON INN AND SUITES CHAPEL HILL,2003-10-06,,2,1 - Restaurant,"35.910078, -78.982483"
56947,THAI LANA,2005-03-29,,4,1 - Restaurant,"36.1369289, -78.762172"
56928,BOCCI TRATTORIA & PIZZERIA,2005-01-25,,4,1 - Restaurant,"35.9197802, -78.9303108"
56911,CHAI'S NOODLE BAR AND BISTRO,2004-10-20,,4,1 - Restaurant,"36.0064489, -78.9481166"
56868,LA QUINTA INN FOOD SERV  184,2004-05-26,,2,1 - Restaurant,"35.907504, -78.891425"
56849,DRAGON GATE,2001-03-08,,4,1 - Restaurant,"35.9904292, -78.9277985"
56750,CHINA STAR,2003-03-26,,4,1 - Restaurant,"36.032415, -78.9808989"
56907,HONG KONG,2004-10-20,,4,1 - Restaurant,"35.92092, -78.956421"
56906,SUBWAY,2004-10-20,,2,1 - Restaurant,"35.962179, -78.978803"
57061,RANDY'S PIZZA,2006-10-16,,2,1 - Restaurant,"36.0195523, -78.91389"
56977,TYLER'S RESTAURANT AND TAPROOM,2005-08-16,,4,1 - Restaurant,"35.9925755, -78.9051145"
56991,SUPER TARGET DELI 2069,2005-10-20,,3,1 - Restaurant,"35.903933, -78.953081"
57023,DURHAM HILTON FOODSERVICE,2006-04-10,,4,1 - Restaurant,"36.0260192, -78.9565712"
56963,BRIGS AT THE PARK,2005-06-13,,4,1 - Restaurant,"35.8988358, -78.8966496"
56958,I LOVE NY PIZZA,2005-05-17,,2,1 - Restaurant,"35.9560088, -78.9964972"
57078,FIREHOUSE SUBS,2007-01-31,,2,1 - Restaurant,"35.954259, -78.9939091"
57087,CHINA KITCHEN,2007-02-09,,4,1 - Restaurant,"35.9203321, -78.8112362"
57029,CRUIZERS  20,2003-06-18,,2,1 - Restaurant,"35.88854, -78.896054"
56952,ARBY'S 7596,2005-04-27,,2,1 - Restaurant,"35.87726, -78.8509451"
57121,CHINA STAR,2007-05-21,,4,1 - Restaurant,"36.0686368, -78.9075729"
57092,CHICK FIL A @ SOUTH SQUARE,2007-02-09,,2,1 - Restaurant,"35.9649487, -78.959053"
57159,SIX PLATES WINE BAR,2007-12-12,,2,1 - Restaurant,"36.0072372, -78.9471945"
57279,PIZZA HUT DELIVERY,1990-07-01,,2,2 - Food Stands,"35.9647372, -78.9572295"
57102,TWISTED NOODLES,2007-04-13,,4,1 - Restaurant,"46.7534208, -100.7527323"
57210,CIRCLE K STORE #8627,1990-07-01,,2,2 - Food Stands,"35.923972, -78.927029"
57125,BACKYARD BARBQUE PITT,2007-06-19,,4,1 - Restaurant,"35.8950685, -78.8971089"
57278,PIZZA HUT DELIVERY,1990-07-01,,2,2 - Food Stands,"36.058514, -78.927769"
57155,JIMMY JOHN'S 991,2007-12-12,,2,1 - Restaurant,"35.8795925, -78.84693"
57133,JOE VAN GOGH,2007-07-12,,1,1 - Restaurant,"36.015775, -78.918871"
57657,KROGER 332 SEAFOOD,2001-10-29,,2,2 - Food Stands,"36.018334, -78.946488"
57540,WILCO HESS  195,1997-11-20,,2,2 - Food Stands,"35.955965, -78.841725"
57676,HARRIS TEETER #172 DELI,1995-08-10,,2,2 - Food Stands,"35.9597816, -78.9589011"
57663,FOOD LION LLC   DELI  #274,1995-04-03,,2,2 - Food Stands,"35.92092, -78.956421"
57696,ERWIN SQUARE CAFE,2002-09-26,,2,2 - Food Stands,"36.0084941, -78.9257598"
57623,FOOD LION LLC DELI    #1099,1993-02-25,,3,2 - Food Stands,"36.0143674, -78.9340232"
57575,KROGER R 331  SEAFOOD,1998-10-26,,2,2 - Food Stands,"35.9110368, -78.9375428"
57688,CAPITAL SEAFOOD,2002-04-29,,2,2 - Food Stands,"35.984991, -78.911194"
57674,ACADEMY QUICK STOP,1990-07-01,,2,2 - Food Stands,"35.9709843, -78.9435348"
57669,PAPA JOHN S,2002-01-17,,2,2 - Food Stands,"35.9847151, -78.834976"
58066,DURHAM SCHOOL OF THE ARTS,1991-09-24,,3,11 - Public School Lunch,"36.0024013, -78.9063212"
58064,SCHOOL FOR CREATIVE STUDIES JR HIGH SLR,1991-09-11,,3,11 - Public School Lunch,"36.0728241, -78.8210112"
58073,R N HARRIS SCHOOL LUNCHROOM,1991-09-18,,4,11 - Public School Lunch,"35.970352, -78.883777"
58088,NORTHERN HIGH SCHOOL,1991-09-19,,3,11 - Public School Lunch,"36.0916747, -78.914035"
58084,MANGUM SCHOOL LUNCHROOM,1991-09-04,,4,11 - Public School Lunch,"36.170647, -78.876925"
58097,Y E SMITH,1991-09-09,,4,11 - Public School Lunch,"35.9854709, -78.872859"
55958,DUKE HOSPITAL-NORTH CAFE,1993-06-29,,4,1 - Restaurant,"36.0034312, -78.9367186"
56744,KROGER R 381 DELI,2003-03-03,,3,1 - Restaurant,"35.9495128, -78.9213244"
56627,CHINA KING,2002-10-24,,4,1 - Restaurant,"36.0318807, -78.9367959"
56651,EPA CAFETERIA,2002-01-03,,4,1 - Restaurant,"35.8824634, -78.8726494"
56668,NORDSTROM CAFE BISTRO,2002-03-20,,4,1 - Restaurant,"35.905837, -78.9377839"
56734,JASON S DELI,2002-12-20,,4,1 - Restaurant,"35.9542754, -78.9947058"
56681,TOMMY'S MINI MART,2002-04-29,,2,1 - Restaurant,"35.944998, -78.837612"
56548,EL CUSCATLECO,2001-03-08,,4,1 - Restaurant,"35.960262, -78.976395"
56688,MCDONALDS #5625,1999-01-15,,2,1 - Restaurant,"35.9021505, -78.8955547"
56642,KFC/TACO BELL,2001-11-29,,3,1 - Restaurant,"35.945496, -78.83854"
56545,SHANGHAI RESTAURANT,2000-11-07,,4,1 - Restaurant,"36.018998, -78.9450369"
56466,CHICK-FIL-A,1999-08-13,,3,1 - Restaurant,"36.0552119, -78.9034271"
56460,CHINA BUFFET,1999-08-13,,4,1 - Restaurant,"35.969184, -78.951782"
56389,METRO EXPRESS MARKET & GRILL,1998-09-18,,4,1 - Restaurant,"36.0091139, -78.943083"
56173,TACO BELL HILLSBOROUGH RD,1996-01-29,,3,1 - Restaurant,"36.022444, -78.952744"
56328,SHRIMP BOAT,1998-01-16,,4,1 - Restaurant,"35.9743989, -78.9287649"
56227,LATIN AMERICAN FOODS,1996-10-10,,4,1 - Restaurant,"35.9896699, -78.857735"
56503,MCDONALD  5234,2000-02-02,,2,1 - Restaurant,"35.970174, -78.958421"
56540,BEAN TRADERS,2000-09-22,,1,1 - Restaurant,"35.9098291, -78.9313605"
56312,ARBY'S,1997-10-28,,2,1 - Restaurant,"35.9024458, -78.8951707"
56673,CALIFORNIA PIZZA KITCHEN,2002-03-20,,4,1 - Restaurant,"35.905837, -78.9377839"
57822,NORTHGATE STADIUM 10,2007-09-26,,2,2 - Food Stands,"36.0201168, -78.9100018"
57702,BETH EL SYNAGOGUE,2002-11-18,,4,2 - Food Stands,"36.010325, -78.9109137"
57775,HARRIS TEETER  172 PRODUCE,2005-06-13,,2,2 - Food Stands,"35.9597816, -78.9589011"
58061,BROGDEN MIDDLE LUNCHROOM,1991-09-16,,3,11 - Public School Lunch,"36.02554, -78.9080775"
57720,LA SUPERIOR MARKET HOT FOOD,2003-06-17,,4,2 - Food Stands,"36.0558699, -78.903481"
57981,CRESSET CHRISTIAN ACADEMY,1991-09-09,,4,5 - Private Schools Lunchroom,"35.972536, -78.9725969"
58040,WYNN CENTER CAFETERIA,2006-08-03,,4,6 - Edu. Food Service,"35.9723523, -78.8810393"
56029,HANDY CHINESE RESTAURANT,1994-03-28,,4,1 - Restaurant,"36.076511, -78.911225"
55642,NEO CHINA,1990-07-01,,4,1 - Restaurant,"35.9645316, -78.9564501"
56060,WEST 94TH ST PUB,1994-09-01,,4,1 - Restaurant,"35.92092, -78.956421"
55960,DUKE REGIONAL HOSPITAL CAFETERIA,1993-06-29,,4,1 - Restaurant,"36.0368173, -78.9000443"
55769,ROY'S KOUNTRY KITCHEN,1990-07-01,,4,1 - Restaurant,"35.969242, -78.902645"
56020,CHUCK E CHEESE,1994-03-03,,2,1 - Restaurant,"35.9688329, -78.952373"
55562,HARDEE'S #1624,1990-07-01,,2,1 - Restaurant,"35.9004717, -78.8888877"
55922,HARDEE'S,1992-08-31,,3,1 - Restaurant,"35.9109089, -78.984442"
55519,DEVINE'S RESTAURANT,1990-07-01,,3,1 - Restaurant,"36.000466, -78.909301"
56052,BLEU OLIVE,1994-08-09,,4,1 - Restaurant,"36.0318807, -78.9367959"
58104,OAK GROVE SCHOOL LUNCHROOM,1993-05-25,,4,11 - Public School Lunch,"35.979946, -78.819459"
58149,DURHAM RIDGE ASSISTED LIVING IFS,2007-02-15,,4,16 - Institutional Food Service,"35.9846727, -78.8348083"
58147,CEDARS OF CHAPEL HILL IFS,2004-09-08,,4,16 - Institutional Food Service,"35.9094231, -79.0050117"
58117,W G PEARSON SCHOOL LUNCHROOM,2006-10-16,,4,11 - Public School Lunch,"35.9574787, -78.9077139"
58124,CARVER LIVING CENTER IFS,2003-10-21,,2,16 - Institutional Food Service,"36.042196, -78.8931267"
58099,SOUTHWEST ELEMENTARY LUNCHROOM,1991-09-10,,4,11 - Public School Lunch,"35.9285086, -78.9239182"
58106,LITTLE RIVER LUNCHROOM,1993-08-24,,4,11 - Public School Lunch,"36.0991954, -78.8657965"
58110,GEORGE WATTS LUNCHROOM,1995-05-16,,4,11 - Public School Lunch,"36.008179, -78.910126"
58316,WHOLE FOODS/MEAT MARKET,1997-02-17,,3,30 - Meat Market,"36.0060497, -78.9198098"
114540,EL CORRAL MEXICAN RESTAURANT INC,2012-12-14,,4,1 - Restaurant,"42.0884065, -86.358866"
106959,VIT GOAL TOFU RESTAURANT,2012-10-08,,4,1 - Restaurant,"35.899123, -78.895312"
106871,PIZZERIA TORO,2012-09-27,,4,1 - Restaurant,"35.9969741, -78.9038459"
106684,MCDONALD'S,2012-09-04,,2,1 - Restaurant,"35.948754, -78.923923"
114453,COMFORT SUITES RTP/RDU FOODSERVICES,2012-12-05,,4,1 - Restaurant,"35.880082, -78.843367"
106533,BURGER KING #944,2012-09-10,,2,1 - Restaurant,"35.950498, -78.838223"
116023,MOLCAJATE DC # 131,2013-01-28,,2,3 - Mobile Food,"36.1369289, -78.762172"
106738,MAMA'S HOT CHICKEN,2012-09-05,,2,3 - Mobile Food,"36.1369289, -78.762172"
117370,SHARKYS EATS AND 8,2013-03-12,,4,1 - Restaurant,"36.0326696, -78.9825002"
116753,ROOKIES SPORTS PARK,2013-04-02,,4,1 - Restaurant,"35.8845033, -78.8460076"
116601,TACOS SANJUAN,2013-03-25,,2,3 - Mobile Food,"35.9817448, -78.8774623"
116951,RUSSELLS FAMOUS HOTDOGS,2013-04-22,,2,4 - Push Carts,"35.970766, -78.866791"
156320,KAIYUH SERVICES LLC,2014-08-05,,4,1 - Restaurant,"35.8840533, -78.8838408"
156209,HYATT PLACE DURHAM / SOUTHPOINT,2014-07-28,,2,1 - Restaurant,"35.9007999, -78.9614996"
155460,ALL AMERICAN FOOD TRUCK,2014-06-25,,2,3 - Mobile Food,"35.9817448, -78.8774623"
99010,WE BEA GRILLIN,2012-03-06,,4,1 - Restaurant,"35.9944625, -78.8815739"
99043,TOLEDO'S II,2012-03-05,,4,1 - Restaurant,"35.9267017, -79.1622125"
97944,BUFFALO WILD WINGS,2012-01-25,,4,1 - Restaurant,"35.906188, -78.936307"
99042,TOLEDO'S II MARKET,2012-03-05,,3,30 - Meat Market,"35.9267017, -79.1622125"
97852,M & M FOOD MART,2012-01-10,,2,2 - Food Stands,"35.981142, -78.876519"
97942,DUKE MEDICAL CENTER,2012-01-23,,2,1 - Restaurant,"36.0049928, -78.936397"
97903,SPROUT CAFE,2012-01-18,,4,1 - Restaurant,"36.0293105, -78.8992776"
98152,AMERICAN MELTDOWN DC #6 PAUL INSERRA,2012-02-21,,2,3 - Mobile Food,"36.1369289, -78.762172"
105962,VINE JAPANESE AND THAI,2012-08-30,,4,1 - Restaurant,"36.0061055, -78.919808"
105972,THE COOKERY,2012-08-30,,4,1 - Restaurant,"35.996597, -78.915869"
100865,MATEO,2012-07-26,,4,1 - Restaurant,"35.996719, -78.904807"
100939,CHARLEY'S PHILLY STEAKS,2012-08-06,,2,2 - Food Stands,"35.905837, -78.9377839"
100726,QUICK MEAL,2012-07-05,,2,2 - Food Stands,"35.996917, -78.9160805"
100235,PORCHETTA MFU AND CATERING,2012-06-11,,2,3 - Mobile Food,"36.1369289, -78.762172"
106505,L & D GROCERY & GRILL,2012-09-12,,2,2 - Food Stands,"35.9783591, -78.87114"
147039,THE LOOP,2013-08-26,,4,1 - Restaurant,"36.0020023, -78.9415819"
144483,"SOIGNE SPECIAL EVENTS ,LLC",2013-07-15,,2,2 - Food Stands,"35.996597, -78.915869"
147038,RED MANGO,2013-08-26,,2,2 - Food Stands,"36.0020023, -78.9415819"
147040,ICHIBAN,2013-08-21,,4,2 - Food Stands,"36.1369289, -78.762172"
151286,HARRIS TEETER STARBUCKS,2013-10-24,,2,2 - Food Stands,"36.0104241, -78.9240421"
151387,FAIRFIELD INN & SUITES BY MARRIOTT  SOUTHPOINT,2013-10-30,,2,1 - Restaurant,"35.90203, -78.958995"
152033,POMPIERI PIZZA,2013-12-19,,4,1 - Restaurant,"35.9958445, -78.8996129"
147728,DON MARCELO'S,2013-09-23,,4,1 - Restaurant,"36.0064489, -78.9481166"
152316,PHO 9N9,2014-01-13,,4,1 - Restaurant,"35.9236546, -78.8438803"
151462,ELEMENTS,2013-11-05,,1,1 - Restaurant,"36.0293105, -78.8992776"
147288,KOKYU ONDO,2013-09-04,,2,3 - Mobile Food,"35.898608, -78.894478"
153172,PDQ,2014-03-13,,2,1 - Restaurant,"35.9528713, -78.9897001"
155179,BLUE STINGRAY,2014-06-11,,4,1 - Restaurant,"36.0495727, -78.9046188"
154722,MCDONALD'S @ THE VILLAGE,2014-05-22,,2,1 - Restaurant,"35.993118, -78.869064"
153000,RED STAR CHINESE BUFFET,2014-03-04,,4,1 - Restaurant,"35.9001415, -78.8945629"
154051,MCDONALD'S 35265,2014-04-28,,2,1 - Restaurant,"36.0760582, -78.9097019"
155146,BO'S KITCHEN,2014-06-11,,2,3 - Mobile Food,"36.1369289, -78.762172"
152548,LITTLE CAESARS,2014-01-30,,2,2 - Food Stands,"35.8988358, -78.8966676"
154721,PUPUSERIA TAQUERIA AMIGOS,2014-05-22,,2,3 - Mobile Food,"35.9817995, -78.8776064"
155372,TACOS TAMAULIPAS,2014-06-23,,2,3 - Mobile Food,"35.9817995, -78.8776064"
161082,SAM'S SOUTHERN EATERY,2014-10-28,,4,1 - Restaurant,"35.991601, -78.867649"
160955,ROLLIN DOGS,2014-10-22,,2,3 - Mobile Food,"35.9708168, -78.8667609"
76606,THE COTTON ROOM,2009-10-21,,4,1 - Restaurant,"35.9899642, -78.891468"
